YY,mean
1979,NA
1980,NA
1981,NA
1982,12.848579969982197
1983,13.19202348010329
1984,12.93631497430885
1985,13.046920108555046
1986,12.890688236238665
1987,13.19969401976927
1988,12.78536156896193
1989,13.250700971815006
1990,13.318304296246763
1991,13.344693031929664
1992,12.35924270032748
1993,12.958682282774415
1994,13.034861202530017
1995,13.175994043509759
1996,13.020998059437508
1997,13.965225274140387
1998,11.47066486566857
1999,13.164805980733856
2000,14.206507177665593
2001,11.867357968044667
2002,13.672418404015206
2003,12.564902751223745
2004,13.355670033177205
2005,12.453749061472811
2006,13.448202843862456
2007,12.88084988224292
2008,14.313555327868853
2009,15.11461437270955
2010,13.377908332102095
2011,14.542338551095423
2012,13.140648450560551
2013,14.394815319542136
2014,13.702706989981785
2015,14.508004341379259
2016,15.046331336722396
2017,14.059455481918931
2018,15.329896699095148
2019,13.94046645520505
2020,14.932916477928924
2021,17.899986553748857
2022,14.978794468431515
